,catepory,gra_son_cate,item_url,search_count,son_catepory
0,Computer & Office,none,http://www.aliexpress.com/category/717/other-computer-products.html,"148,713",Other Computer Products
0,Consumer Electronics,Wearable Devices,http://www.aliexpress.com/category/200084019/wearable-devices.html?site=glo&shipCountry=all,(1006),Smart Electronics
0,Women's Clothing & Accessories,none,http://www.aliexpress.com/category/200003482/dresses.html,"499,979",Dresses
0,Computer & Office,none,http://www.aliexpress.com/category/200182006/pc-tablets.html,480,PC Tablets
0,Consumer Electronics,Smart Watches,http://www.aliexpress.com/category/200010206/smart-watches.html?site=glo&shipCountry=all,(37025),Smart Electronics
0,Consumer Electronics,Lens & Accessories,http://www.aliexpress.com/category/200002409/lens-accessories.html?site=glo&shipCountry=all,(146),Camera & Photo
0,Consumer Electronics,TV Receivers,http://www.aliexpress.com/category/100002950/tv-receivers.html?site=glo&shipCountry=all,(49761),Home Audio & Video
0,Consumer Electronics,Smart Wristbands,http://www.aliexpress.com/category/200010207/smart-wristbands.html?site=glo&shipCountry=all,(14268),Smart Electronics
0,Consumer Electronics,Film Camera,http://www.aliexpress.com/category/1901/film-camera.html?site=glo&shipCountry=all,(2),Camera & Photo
0,Consumer Electronics,TV Stick,http://www.aliexpress.com/category/200004329/tv-stick.html?site=glo&shipCountry=all,(4637),Home Audio & Video
0,Computer & Office,Laptop Batteries,http://www.aliexpress.com/category/100005090/laptop-batteries.html?site=glo&shipCountry=all,(5301),Laptop Accessories
0,Consumer Electronics,Smart Accessories,http://www.aliexpress.com/category/200010211/smart-accessories.html?site=glo&shipCountry=all,(6118),Smart Electronics
0,Computer & Office,none,http://www.aliexpress.com/category/712/software.html,673,Software
0,Computer & Office,none,http://www.aliexpress.com/category/100005061/netbooks-umpc.html,883,Netbooks & UMPC
0,Computer & Office,none,http://www.aliexpress.com/category/70803003/mini-pcs.html,"14,910",Mini PCs
0,Computer & Office,Industrial Computer & Accessories,http://www.aliexpress.com/category/100005089/industrial-computer-accessories.html?site=glo&shipCountry=all,(69405),Desktops & Servers
0,Computer & Office,Covers & Cases,http://www.aliexpress.com/category/200002364/covers-cases.html?site=glo&shipCountry=all,(143831),Tablet Accessories
0,Computer & Office,none,http://www.aliexpress.com/category/702/laptops.html,897,Laptops
0,Computer & Office,Projectors,http://www.aliexpress.com/category/2107/projectors.html?site=glo&shipCountry=all,(10436),Office Electronics
0,Consumer Electronics,Tripod & Accessories,http://www.aliexpress.com/category/200002408/tripod-accessories.html?site=glo&shipCountry=all,(35179),Camera & Photo
0,Consumer Electronics,Speakers,http://www.aliexpress.com/category/518/speakers.html?site=glo&shipCountry=all,(70998),Home Audio & Video
0,Computer & Office,Laptop Adapter,http://www.aliexpress.com/category/14191109/laptop-adapter.html?site=glo&shipCountry=all,(59),Laptop Accessories
0,Consumer Electronics,Smart Glasses,http://www.aliexpress.com/category/200010208/smart-glasses.html?site=glo&shipCountry=all,(1056),Smart Electronics
0,Computer & Office,Servers,http://www.aliexpress.com/category/703/servers.html?site=glo&shipCountry=all,(1379),Desktops & Servers
0,Computer & Office,Screen Protectors,http://www.aliexpress.com/category/200003724/screen-protectors.html?site=glo&shipCountry=all,(32),Tablet Accessories
0,Computer & Office,Projectors & Accessories,http://www.aliexpress.com/category/200002665/projectors-accessories.html?site=glo&shipCountry=all,(113061),Office Electronics
0,Consumer Electronics,Camera & Photo Accessories,http://www.aliexpress.com/category/1903/camera-photo-accessories.html?site=glo&shipCountry=all,(148008),Camera & Photo
0,Security & Protection,none,http://www.aliexpress.com/category/301102/surveillance-cameras.html,"71,968",Surveillance Cameras
0,Consumer Electronics,Projectors & Accessories,http://www.aliexpress.com/category/200002665/projectors-accessories.html?site=glo&shipCountry=all,(96368),Home Audio & Video
0,Computer & Office,Laptop Bags & Cases,http://www.aliexpress.com/category/380110/laptop-bags-cases.html?site=glo&shipCountry=all,(62500),Laptop Accessories
0,Consumer Electronics,Smart Home,http://www.aliexpress.com/category/200084020/smart-home.html?site=glo&shipCountry=all,(7986),Smart Electronics
0,Computer & Office,Desktops,http://www.aliexpress.com/category/701/desktops.html?site=glo&shipCountry=all,(279),Desktops & Servers
0,Computer & Office,Tablet PC Stands,http://www.aliexpress.com/category/200002624/tablet-pc-stands.html?site=glo&shipCountry=all,(8),Tablet Accessories
0,Computer & Office,Scanners,http://www.aliexpress.com/category/200004732/scanners.html?site=glo&shipCountry=all,(2499),Office Electronics
0,Consumer Electronics,Memory Card,http://www.aliexpress.com/category/4406/memory-card.html?site=glo&shipCountry=all,(7),Camera & Photo
0,Consumer Electronics,Video & Audio Accessories,http://www.aliexpress.com/category/200003349/video-audio-accessories.html?site=glo&shipCountry=all,(36307),Home Audio & Video
0,Computer & Office,Keyboard Covers,http://www.aliexpress.com/category/708021/keyboard-covers.html?site=glo&shipCountry=all,(19),Laptop Accessories
0,Consumer Electronics,Smart Home Controls,http://www.aliexpress.com/category/200084028/smart-home-controls.html?site=glo&shipCountry=all,(2294),Smart Electronics
0,Computer & Office,All-In-One PC,http://www.aliexpress.com/category/100005071/all-in-one-pc.html?site=glo&shipCountry=all,(1425),Desktops & Servers
0,Security & Protection,Surveillance Cameras,http://www.aliexpress.com/category/301102/surveillance-cameras.html?site=glo&shipCountry=all,(71968),Surveillance Products
0,Food,Pu Er Tea,http://www.aliexpress.com/category/100006194/pu-er-tea.html?site=glo&shipCountry=all,(31228),Tea
0,Food,none,http://www.aliexpress.com/category/200002419/nut-kernel.html,"1,930",Nut & Kernel
0,Computer & Office,Stylus Pens,http://www.aliexpress.com/category/200002368/stylus-pens.html?site=glo&shipCountry=all,(12),Tablet Accessories
0,Computer & Office,Laser Pens,http://www.aliexpress.com/category/200004731/laser-pens.html?site=glo&shipCountry=all,(36),Office Electronics
0,Consumer Electronics,Camera Drones & Accessories,http://www.aliexpress.com/category/200118003/camera-drones-accessories.html?site=glo&shipCountry=all,(20),Camera & Photo
0,Consumer Electronics,Radio,http://www.aliexpress.com/category/632/radio.html?site=glo&shipCountry=all,(37),Home Audio & Video
0,Computer & Office,Laptop Cooling Pads,http://www.aliexpress.com/category/721/laptop-cooling-pads.html?site=glo&shipCountry=all,(28724),Laptop Accessories
0,Consumer Electronics,Smart Health,http://www.aliexpress.com/category/200084021/smart-health.html?site=glo&shipCountry=all,(1845),Smart Electronics
0,Computer & Office,KVM Switches,http://www.aliexpress.com/category/100005077/kvm-switches.html?site=glo&shipCountry=all,(3955),Desktops & Servers
0,Security & Protection,Surveillance Video Recorder,http://www.aliexpress.com/category/301103/surveillance-video-recorder.html?site=glo&shipCountry=all,(9214),Surveillance Products
0,Food,Oolong Tea,http://www.aliexpress.com/category/100006193/oolong-tea.html?site=glo&shipCountry=all,(11624),Tea
0,Travel and Coupons,Tour Guides,http://www.aliexpress.com/category/200005202/tour-guides.html?site=glo&shipCountry=all,(24),Rentals
0,Computer & Office,Tablet Decals,http://www.aliexpress.com/category/200002365/tablet-decals.html?site=glo&shipCountry=all,(6),Tablet Accessories
0,Computer & Office,Power Source,http://www.aliexpress.com/category/200004719/power-source.html?site=glo&shipCountry=all,(238),Office Electronics
0,Consumer Electronics,Sports Camcorder Accessories,http://www.aliexpress.com/category/200188010/sports-camcorder-accessories.html?site=glo&shipCountry=all,(8),Camera & Photo
0,Consumer Electronics,Home Theatre System,http://www.aliexpress.com/category/635/home-theatre-system.html?site=glo&shipCountry=all,(2),Home Audio & Video
0,Computer & Office,Laptop Skins,http://www.aliexpress.com/category/708031/laptop-skins.html?site=glo&shipCountry=all,(8428),Laptop Accessories
0,Consumer Electronics,Smart Remote Control,http://www.aliexpress.com/category/200086023/smart-remote-control.html?site=glo&shipCountry=all,(991),Smart Electronics
0,Computer & Office,Workstations,http://www.aliexpress.com/category/703001/workstations.html?site=glo&shipCountry=all,(582),Desktops & Servers
0,Security & Protection,Surveillance System,http://www.aliexpress.com/category/301106/surveillance-system.html?site=glo&shipCountry=all,(15708),Surveillance Products
0,Food,Herbal Tea,http://www.aliexpress.com/category/100004974/herbal-tea.html?site=glo&shipCountry=all,(12134),Tea
0,Travel and Coupons,Book a Rental Car,http://www.aliexpress.com/category/200005198/book-a-rental-car.html?site=glo&shipCountry=all,(1),Rentals
0,Computer & Office,Tablet Battery Chargers,http://www.aliexpress.com/category/200002367/tablet-battery-chargers.html?site=glo&shipCountry=all,(32),Tablet Accessories
0,Computer & Office,Printers,http://www.aliexpress.com/category/2118/printers.html?site=glo&shipCountry=all,(8518),Office Electronics
0,Consumer Electronics,Sports & Action Video Cameras,http://www.aliexpress.com/category/200186010/sports-action-video-cameras.html?site=glo&shipCountry=all,(5),Camera & Photo
0,Consumer Electronics,HDD Player,http://www.aliexpress.com/category/4402/hdd-player.html?site=glo&shipCountry=all,(508),Home Audio & Video
0,Computer & Office,Laptop LCD Screen,http://www.aliexpress.com/category/100005069/laptop-lcd-screen.html?site=glo&shipCountry=all,(133037),Laptop Accessories
0,Computer & Office,Barebone System,http://www.aliexpress.com/category/100005072/barebone-system.html?site=glo&shipCountry=all,(37),Desktops & Servers
0,Food,Noodles,http://www.aliexpress.com/category/201/noodles.html?site=glo&shipCountry=all,(235),Grain Products
0,Food,none,http://www.aliexpress.com/category/200002418/dried-fruit.html,"1,407",Dried Fruit
0,Home Improvement,Metal Building Materials,http://www.aliexpress.com/category/200002622/metal-building-materials.html?site=glo&shipCountry=all,(41188),Basis Material
0,Food,Coffee Beans,http://www.aliexpress.com/category/200002417/coffee-beans.html?site=glo&shipCountry=all,(645),Coffee
0,Food,none,http://www.aliexpress.com/category/200114002/medlar.html,729,Medlar
0,Home Improvement,none,http://www.aliexpress.com/category/1333/other-home-improvement.html,"21,320",Other Home Improvement
0,Home Improvement,Wallpapers,http://www.aliexpress.com/category/1303/wallpapers.html?site=glo&shipCountry=all,(100702),Building Supplies
0,Security & Protection,Surveillance Accessories,http://www.aliexpress.com/category/200200003/surveillance-accessories.html?site=glo&shipCountry=all,(45114),Surveillance Products
0,Food,Blooming Tea,http://www.aliexpress.com/category/100006190/blooming-tea.html?site=glo&shipCountry=all,(9592),Tea
0,Computer & Office,Tablet Backup Powers,http://www.aliexpress.com/category/200004397/tablet-backup-powers.html?site=glo&shipCountry=all,(2),Tablet Accessories
0,Computer & Office,Printer Supplies,http://www.aliexpress.com/category/200004733/printer-supplies.html?site=glo&shipCountry=all,(831570),Office Electronics
